#,PRODUCTO,SERIAL,ACTIVO,INSERTOS Y ANILLO RETENEDOR,,,,,
159,TUBO,PCT-23-21502-2-001,PCT-PUP-0187,SI,,,,,
160,TUBO,PCT-23-21502-2-002,PCT-PUP-0188,SI,,,,,
161,TUBO,PCT-23-21502-2-003,PCT-PUP-0189,SI,,,,,
162,TUBO,PCT-23-21502-2-004,PCT-PUP-0190,SI,,,,,
163,TUBO,PCT-23-21502-2-005,PCT-PUP-0191,SI,,,,,
164,TUBO,PCT-23-21502-2-006,PCT-PUP-0192,SI,,,,,
165,TUBO,PCT-23-21502-2-007,PCT-PUP-0193,SI,,,,,
166,TUBO,PCT-23-21502-2-008,PCT-PUP-0194,SI,,,,,
167,TUBO,PCT-23-21502-2-009,PCT-PUP-0195,SI,,,,,
168,TUBO,PCT-23-21502-2-010,PCT-PUP-0196,SI,,,,,
169,TUBO,PCT-24-21502-2-001,PCT-PUP-0197,SI,,,,,
170,TUBO,PCT-24-21502-2-002,PCT-PUP-0198,SI,,,,,
171,TUBO,PCT-24-21502-2-003,PCT-PUP-0199,SI,,,,,
172,TUBO,PCT-24-21502-2-006,PCT-PUP-0202,SI,,,,,
173,TUBO,PCT-24-21502-2-007,PCT-PUP-0203,SI,,,,,
174,TUBO,PCT-24-21502-2-008,PCT-PUP-0204,SI,,,,,
175,TUBO,PCT-24-21502-2-009,PCT-PUP-0205,SI,,,,,
176,TUBO,PCT-24-21502-2-010,PCT-PUP-0206,SI,,,,,
177,TUBO,PCT-23-21502-3-001,PCT-PUP-0207,SI,,,,,
178,TUBO,PCT-23-21502-3-002,PCT-PUP-0208,SI,,,,,
179,TUBO,PCT-23-21502-3-003,PCT-PUP-0209,SI,,,,,
180,TUBO,PCT-23-21502-3-004,PCT-PUP-0210,SI,,,,,
181,TUBO,PCT-23-21502-3-005,PCT-PUP-0211,SI,,,,,
182,TUBO,PCT-23-21502-3-006,PCT-PUP-0212,SI,,,,,
183,TUBO,PCT-23-21502-3-007,PCT-PUP-0213,SI,,,,,
184,TUBO,PCT-23-21502-3-008,PCT-PUP-0214,SI,,,,,
185,TUBO,PCT-23-21502-3-009,PCT-PUP-0215,SI,,,,,
186,TUBO,PCT-23-21502-3-010,PCT-PUP-0216,SI,,,,,
187,TUBO,PCT-24-21502-3-001,PCT-PUP-0217,SI,,,,,
188,TUBO,PCT-24-21502-3-002,PCT-PUP-0218,SI,,,,,
189,TUBO,PCT-24-21502-3-003,PCT-PUP-0219,SI,,,,,
190,TUBO,PCT-24-21502-3-004,PCT-PUP-0220,SI,,,,,
191,TUBO,PCT-24-21502-3-005,PCT-PUP-0221,SI,,,,,
192,TUBO,PCT-24-21502-3-006,PCT-PUP-0222,SI,,,,,
193,TUBO,PCT-24-21502-3-007,PCT-PUP-0223,SI,,,,,
194,TUBO,PCT-24-21502-3-008,PCT-PUP-0224,SI,,,,,
195,TUBO,PCT-24-21502-3-009,PCT-PUP-0225,SI,,,,,
196,TUBO,PCT-24-21502-3-010,PCT-PUP-0226,SI,,,,,
197,TUBO,PCT-23-21502-5-001,PCT-PUP-0227,SI,,,,,
198,TUBO,PCT-23-21502-5-002,PCT-PUP-0228,SI,,,,,
199,TUBO,PCT-23-21502-5-003,PCT-PUP-0229,SI,,,,,
200,TUBO,PCT-23-21502-5-004,PCT-PUP-0230,SI,,,,,
201,TUBO,PCT-23-21502-5-005,PCT-PUP-0231,SI,,,,,
202,TUBO,PCT-23-21502-5-006,PCT-PUP-0232,SI,,,,,
203,TUBO,PCT-23-21502-5-007,PCT-PUP-0233,SI,,,,,
204,TUBO,PCT-23-21502-5-008,PCT-PUP-0234,SI,,,,,
205,TUBO,PCT-23-21502-5-009,PCT-PUP-0235,SI,,,,,
206,TUBO,PCT-23-21502-5-010,PCT-PUP-0236,SI,,,,,
207,TUBO,PCT-24-21502-5-001,PCT-PUP-0237,SI,,,,,
208,TUBO,PCT-24-21502-5-002,PCT-PUP-0238,SI,,,,,
209,TUBO,PCT-24-21502-5-003,PCT-PUP-0239,SI,,,,,
210,TUBO,PCT-24-21502-5-004,PCT-PUP-0240,SI,,,,,
211,TUBO,PCT-24-21502-5-005,PCT-PUP-0241,SI,,,,,
212,TUBO,PCT-24-21502-5-006,PCT-PUP-0242,SI,,,,,
213,TUBO,PCT-24-21502-5-007,PCT-PUP-0243,SI,,,,,
214,TUBO,PCT-24-21502-5-008,PCT-PUP-0244,SI,,,,,
215,TUBO,PCT-24-21502-5-009,PCT-PUP-0245,SI,,,,,
216,TUBO,PCT-24-21502-5-010,PCT-PUP-0246,SI,,,,,
217,TUBO,PCT-23-21502-10-001,PCT-PUP-0247,SI,,,,,
218,TUBO,PCT-23-21502-10-002,PCT-PUP-0248,SI,,,,,
219,TUBO,PCT-23-21502-10-003,PCT-PUP-0249,SI,,,,,
220,TUBO,PCT-23-21502-10-004,PCT-PUP-0250,SI,,,,,
221,TUBO,PCT-23-21502-10-005,PCT-PUP-0251,SI,,,,,
222,TUBO,PCT-23-21502-10-006,PCT-PUP-0252,SI,,,,,
223,TUBO,PCT-23-21502-10-007,PCT-PUP-0253,SI,,,,,
224,TUBO,PCT-23-21502-10-008,PCT-PUP-0254,SI,,,,,
225,TUBO,PCT-23-21502-10-009,PCT-PUP-0255,SI,,,,,
226,TUBO,PCT-23-21502-10-010,PCT-PUP-0256,SI,,,,,
227,TUBO,PCT-24-21502-10-001,PCT-PUP-0257,SI,,,,,
228,TUBO,PCT-24-21502-10-002,PCT-PUP-0258,SI,,,,,
229,TUBO,PCT-24-21502-10-003,PCT-PUP-0259,SI,,,,,
230,TUBO,PCT-24-21502-10-004,PCT-PUP-0260,SI,,,,,
231,TUBO,PCT-24-21502-10-005,PCT-PUP-0261,SI,,,,,
232,TUBO,PCT-24-21502-10-006,PCT-PUP-0262,SI,,,,,
233,TUBO,PCT-24-21502-10-007,PCT-PUP-0263,SI,,,,,
