,,,,,,,
#,Tipo,No. Activo,No. Serial,No. De Reporte de PH,FECHA,Observaciones,
176,45,PCT-45-069,PCT-24-4206-45-007,PCT-NDT-1-26-0091,3/26/26,,
177,45,PCT-45-073,PCT-24-4206-45-011,PCT-NDT-1-26-0091,3/26/26,,
178,90,PCT-90-101,PCT-24-31502-90-019,PCT-NDT-1-26-0175,4/18/26,,
179,90,PCT-90-102,PCT-24-31502-90-020,PCT-NDT-1-26-0175,4/18/26,,
181,45,PCT-45-092,PCT-24-4206-45-030,PCT-NDT-1-26-0148,4/16/26,,
182,45,PCT-45-042,PCT-23-4602-45-020,PCT-NDT-1-26-0089,3/25/26,,
183,45,PCT-45-023,PCT-23-4602-45-001,PCT-NDT-1-26-0089,3/25/26,,
184,45,PCT-45-031,PCT-23-4602-45-009,PCT-NDT-1-26-0089,3/25/26,,
185,45,PCT-45-027,PCT-23-4602-45-005,PCT-NDT-1-26-0086,3/23/26,,
186,45,PCT-45-025,PCT-23-4602-45-003,PCT-NDT-1-26-0086,3/23/26,,
187,45,PCT-45-026,PCT-23-4602-45-004,PCT-NDT-1-26-0086,3/23/26,,
188,45,PCT-45-041,PCT-23-4602-45-019,PCT-NDT-1-26-0089,3/25/26,,
189,45,PCT-45-030,PCT-23-4602-45-008,PCT-NDT-1-26-0089,3/25/26,,
190,45,PCT-45-028,PCT-23-4602-45-006,PCT-NDT-1-26-0089,3/25/26,,
191,45,PCT-45-035,PCT-23-4602-45-013,PCT-NDT-1-26-0089,3/25/26,,
192,Xover,PCT-XO-69,PCT-24-XO-21502/4206-001,PCT-NDT-1-26-0148,4/16/26,,
194,90,PCT-90-019,PCT-23-4206-90-019,PCT-NDT-1-26-0119,4/7/26,,
195,90,PCT-90-183,EBS-4206-LRE-SS-90-21,PCT-NDT-1-26-0117,4/7/26,,
196,Tapa,PCT-CAP-11,PCT-24-21502-C-001,PCT-NDT-1-26-0148,4/16/26,,
197,Tubo,PCT-PUP-0447,EBS-4206-DJ-SS-10-1,PCT-NDT-1-26-0111,4/7/26,,
198,Tubo,PCT-PUP-0449,EBS-4206-DJ-SS-10-3,PCT-NDT-1-26-0119,4/7/26,,
199,Tubo,PCT-PUP-0450,EBS-4206-DJ-SS-10-4,PCT-NDT-1-26-0119,4/7/26,,
200,Tubo,PCT-PUP-0448,EBS-4206-DJ-SS-10-2,PCT-NDT-1-26-0133,4/9/26,,
201,Tubo,PCT-PUP-0454,EBS-4206-DJ-SS-10-10,PCT-NDT-1-26-0130,4/9/26,,
202,Tubo,PCT-PUP-0452,EBS-4206-DJ-SS-10-6,PCT-NDT-1-26-0133,4/9/26,,
203,90,PCT-90-188,EBS-4206-LRE-SS-90-26,PCT-NDT-1-26-0117,4/7/26,,
205,E.C.,PCT-CE-09,4TA00533,PCT-NDT-1-26-0243,6/3/26,,
206,Tubo,PCT-PUP-0176,PCT-23-21502-1-010,PCT-NDT-1-26-0241,5/30/26,,
207,Tubo,PCT-PUP-0230,PCT-23-21502-5-004,PCT-NDT-1-26-0258,6/17/26,,
208,tapa,PCT-CAP-08,PCT-23-21502-C-002,PCT-NDT-1-26-0237,5/28/26,,
209,tapa,PCT-CAP-09,PCT-24-31502-C-001,PCT-NDT-1-26-0240,5/29/26,,
210,tapón,PCT-PLG-08,PCT-23-21502-P-002,PCT-NDT-1-26-0241,5/30/26,,
211,tubo,PCT-PUP-0172,PCT-23-21502-1-006,PCT-NDT-1-26-0241,5/30/26,,
212,tubo,PCT-PUP-0175,PCT-23-21502-1-009,PCT-NDT-1-26-0149,4/16/26,,
213,tubo,PCT-PUP-0182,PCT-24-21502-1-006,PCT-NDT-1-26-0241,5/30/26,,
214,tubo,PCT-PUP-0184,PCT-24-21502-1-008,PCT-NDT-1-26-0241,5/30/26,,
215,tubo,PCT-PUP-0187,PCT-23-21502-2-001,PCT-NDT-1-26-0258,6/17/26,,
216,tubo,PCT-PUP-0231,PCT-23-21502-5-005,PCT-NDT-1-26-0258,6/17/26,,
217,tee,PCT-TEE-14,PCT-23-21502-T1-002,PCT-NDT-1-26-0241,5/30/26,,
218,tee,PCT-TEE-16,PCT-23-21502-T1-004,PCT-NDT-1-26-0241,5/30/26,,
219,tee,PCT-TEE-17,PCT-23-21502-T1-005,PCT-NDT-1-26-0241,5/30/26,,
220,tee,PCT-TEE-18,PCT-24-21502-T1-001,PCT-NDT-1-26-0241,5/30/26,,
221,xover,PCT-XO-20,PCT-24-XO-6206-T/T-001,PCT-NDT-1-26-0149,4/16/26,,
222,xover,PCT-XO-040,PCT-24-XO-013,PCT-NDT-1-26-0230,5/15/26,,
223,xover,PCT-XO-047,PCT-24-XO-020,PCT-NDT-1-26-0238,5/29/26,,
224,Tapa,PCT-CAP-004,PCT-23-6206-C-002,PCT-NDT-1-26-0242,5/30/26,,
225,Tapa,PCT-CAP-010,PCT-24-31502-C-002,PCT-NDT-1-26-0235,5/27/26,,
226,Xover,PCT-XO-004,PCT-23-XO-4/6-206-002,PCT-NDT-1-26-0212,4/30/26,,
227,Xover,PCT-XO-044,PCT-24-XO-017,PCT-NDT-1-26-0136,4/15/26,,
228,Xover,PCT-XO-046,PCT-24-XO-019,PCT-NDT-1-26-0136,4/15/26,,
229,Xover,PCT-XO-049,PCT-24-XO-022,PCT-NDT-1-26-0229,5/15/26,,
230,Xover,PCT-XO-070,PCT-24-XO-206-2F/4M-001,PCT-NDT-1-26-0160,4/20/26,,
231,Xover,PCT-XO-064,PCT-24-XO-037,PCT-NDT-1-26-0236,5/27/26,,
232,xover,PCT-PLG-013,PCT-24-4206-P-003,PCT-NDT-1-26-0246,6/13/26,,
