#,ESTADO,EQUIPO / ACTIVO,PRODUCTO,DESCRIPCION,PRUEBA / CALIBRACION,TIPO EQUIPO,ÁREA A INSPECIONAR
81,ACTIVO,PCT-CA-18,CARRETE ADAPTADOR,CARRETE ADAPTADOR 7 1/16 FLANGE R-46 5000 X 11 FLANGE R-54 / RX-54 5000  P.T: 5000 H2S LONG: 23.62 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
82,ACTIVO,PCT-CA-18,CARRETE ADAPTADOR,CARRETE ADAPTADOR 7 1/16 FLANGE R-46 5000 X 11 FLANGE R-54 / RX-54 5000  P.T: 5000 H2S LONG: 23.62 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
83,ACTIVO,PCT-CE-01,CARRETE ESPACIADOR,CARRETE ESPACIADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-160 5000  P.T: 5000 H2S LONG: 23.34 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
84,ACTIVO,PCT-CE-01,CARRETE ESPACIADOR,CARRETE ESPACIADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-160 5000  P.T: 5000 H2S LONG: 23.34 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
85,ACTIVO,PCT-CE-01,CARRETE ESPACIADOR,CARRETE ESPACIADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-160 5000  P.T: 5000 H2S LONG: 23.34 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
86,ACTIVO,PCT-CE-02,CARRETE ESPACIADOR,CARRETE ESPACIADOR 11 FLANGE BX-158 10000 X 11 FLANGE BX-158 10000  P.T: 10000 H2S LONG: 16.5 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
87,ACTIVO,PCT-CE-02,CARRETE ESPACIADOR,CARRETE ESPACIADOR 11 FLANGE BX-158 10000 X 11 FLANGE BX-158 10000  P.T: 10000 H2S LONG: 16.5 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
88,ACTIVO,PCT-CE-02,CARRETE ESPACIADOR,CARRETE ESPACIADOR 11 FLANGE BX-158 10000 X 11 FLANGE BX-158 10000  P.T: 10000 H2S LONG: 16.5 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
89,ACTIVO,PCT-CE-03,CARRETE ESPACIADOR,CARRETE ESPACIADOR 11 FLANGE BX-158 10000 X 11 FLANGE BX-158 10000  P.T: 10000 H2S LONG: 19.75 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
90,ACTIVO,PCT-CE-03,CARRETE ESPACIADOR,CARRETE ESPACIADOR 11 FLANGE BX-158 10000 X 11 FLANGE BX-158 10000  P.T: 10000 H2S LONG: 19.75 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
91,ACTIVO,PCT-CE-03,CARRETE ESPACIADOR,CARRETE ESPACIADOR 11 FLANGE BX-158 10000 X 11 FLANGE BX-158 10000  P.T: 10000 H2S LONG: 19.75 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
92,ACTIVO,PCT-CE-04,CARRETE ESPACIADOR,CARRETE ESPACIADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-160 5000  P.T: 5000 H2S LONG: 15 1/8 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
93,ACTIVO,PCT-CE-04,CARRETE ESPACIADOR,CARRETE ESPACIADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-160 5000  P.T: 5000 H2S LONG: 15 1/8 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
