edo,invre_equipo,invre_serial,match_equipo_exact,match_serial_exact,match_equipo_norm,match_serial_norm,equipo_norm_hits,serial_norm_hits,suggest_norm_1,suggest_dist_1,suggest_norm_2,suggest_dist_2,suggest_norm_3,suggest_dist_3,suggest_norm_4,suggest_dist_4,suggest_norm_5,suggest_dist_5
WIP,PCT-XO-162,25322-085,0,0,0,0,,,PCTXO12,1,PCTXO16,1,PCTXO10,2,PCTXO11,2,PCTXO18,2
WIP,PCT-XO-163,25322-086,0,0,0,0,,,PCTXO16,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO18,2
WIP,PCT-XO-164,25322-087,0,0,0,0,,,PCTXO16,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO18,2
WIP,PCT-XO-165,25322-088,0,0,0,0,,,PCTXO16,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO18,2
WIP,PCT-XO-166,25322-089,0,0,0,0,,,PCTXO16,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO18,2
WIP,PCT-XO-167,25322-090,0,0,0,0,,,PCTXO16,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO18,2
WIP,PCT-XO-168,25322-091,0,0,0,0,,,PCTXO16,1,PCTXO18,1,PCTXO10,2,PCTXO11,2,PCTXO12,2
WIP,PCT-XO-169,25322-092,0,0,0,0,,,PCTXO16,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO18,2
WIP,PCT-XO-170,25322-093,0,0,0,0,,,PCTXO10,1,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-171,25322-094,0,0,0,0,,,PCTXO11,1,PCTXO10,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-172,25322-095,0,0,0,0,,,PCTXO12,1,PCTXO10,2,PCTXO11,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-173,25322-096,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-174,25322-097,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-175,25322-098,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-176,25322-099,0,0,0,0,,,PCTXO16,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO18,2
WIP,PCT-XO-177,25322-100,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-178,25322-101,0,0,0,0,,,PCTXO18,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2
WIP,PCT-XO-179,25322-102,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-180,25322-103,0,0,0,0,,,PCTXO10,1,PCTXO18,1,PCTXO11,2,PCTXO12,2,PCTXO16,2
WIP,PCT-XO-181,25322-104,0,0,0,0,,,PCTXO11,1,PCTXO18,1,PCTXO10,2,PCTXO12,2,PCTXO16,2
WIP,PCT-XO-182,25322-105,0,0,0,0,,,PCTXO12,1,PCTXO18,1,PCTXO10,2,PCTXO11,2,PCTXO16,2
WIP,PCT-XO-183,25322-106,0,0,0,0,,,PCTXO18,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2
WIP,PCT-XO-184,25322-107,0,0,0,0,,,PCTXO18,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2
WIP,PCT-XO-185,25322-108,0,0,0,0,,,PCTXO18,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2
WIP,PCT-XO-186,25322-109,0,0,0,0,,,PCTXO16,1,PCTXO18,1,PCTXO10,2,PCTXO11,2,PCTXO12,2
WIP,PCT-XO-187,25322-110,0,0,0,0,,,PCTXO18,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2
WIP,PCT-XO-188,25322-111,0,0,0,0,,,PCTXO18,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2
WIP,PCT-XO-189,25322-112,0,0,0,0,,,PCTXO18,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2
WIP,PCT-XO-190,25322-113,0,0,0,0,,,PCTXO10,1,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-191,25322-114,0,0,0,0,,,PCTXO11,1,PCTXO10,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-192,25322-115,0,0,0,0,,,PCTXO12,1,PCTXO10,2,PCTXO11,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-193,25322-116,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-194,25322-117,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-195,25322-118,0,0,0,0,,,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO16,2,PCTXO18,2
WIP,PCT-XO-196,25322-119,0,0,0,0,,,PCTXO16,1,PCTXO10,2,PCTXO11,2,PCTXO12,2,PCTXO18,2
